Code,BOM,QtyBom
PFI9210GR,FI9210GR,1
HP301025,30.1025.24,1
PFI7871GW,FI7871GW,1
PAB301079,30.1079.12,1
PFI8003GYW,FI8003GYW,1
HPELPL141,PL.141.GN,1
HPELPL076,PL.076.GYGN,1
HPFI6895GR,FI6895GR,1
HPAB30863,30.863.12,1
HPAB30823,30.823.12,1
HPFI8006GY,FI8006GY,1
HPFBL201,L201,1
HPPL104,PL.104.GN,1
HPRE6469,6469,1
HPELPL073,PL.073.GN,1
HPS2816WHT,S2816WHT,1
HPMPhilo80,MPhilo80,1
HPS2650GRN,S2650Grn,1
HPGF80284,GF80284,1
HPFI8784PL,FI8784PL,1
HPFI8004GYW,FI8004GYW,1
HPFI7388GY,FI7388GY,1
HPFI7386GY,FI7386GY,1
HPFI8007GR,FI8007GR,1
HPPL010,PL.010.VE,1
HPRE6756,6756,1
HPP132GR,P132GR,1
PRE6521D,6521,2
HPELPL126,PL.126.GN,1
HPAB30873,30.873.22,1
PFI10455GR,FI10455GR,1
PELPL169,PL.169.YWGN,1
HPELPL056,PL.056.VE,1
HPELPL057,PL.057.VE,1
PH2022GR,H-2022GR,1
PH2022GW,H-2022GW,1
PH2029P,H-2029P,1
PH2030D,H-2030D,1
PFI8287,FI8287GR,1
PFBF230,F230,1
PFI9002GR,FI9002GR,1
P2PL087,PL.087.GN,1
PFI11303GW,FI11303GW,1
PFI7976GR,FI7976GR,1
PFI6657GR,FI6657GR,1
PYL287RD,LTYL287RD,1
PYL287P,LTYL287P,1
PYL287SP,LTYL287SP,1
HPPL011,PL.011.VE,1
PELPL040,PL.040.GN,1
PELPL009,PL.009.GN,1
PGRDR150,DR150,1
PGRSP90,SP90,1
PGRBF62,BF62,1
HPELPL162,PL.162.GN,1
HPELPLP026,PLP.026.GN,1
HPELPLP031,PLP.031.GN,1
PGRG35G,G35G,1
HPFI11304GW,FI11304GW,1
HBAB30993B2,30.993.12,2
HBRE6540GRB3,6540GR,3
HBRE6540VGB3,6540VG,3
